UserTags,time,Tweets,sentiments
protector islam,2024-04-18T12:56:29.000Z,india israel tip shoe,neutral
aisha,2024-04-18T12:35:52.000Z,peopl kashmir palestin look us want see unifi respons us human right democrat right rais voic everi forum former prime minist pakistan imran khan,positive
انتخاب شده,2024-04-18T08:44:18.000Z,break missil attack isra base northern occupi media sourc,negative
jake foacta,2024-04-18T12:42:37.000Z,isra forc arrest islam state oper west bank immin terror attack thwart,negative
𝔼𝕒𝕣𝕝𝕪 𝔹𝕚𝕣𝕕,2024-04-18T12:02:50.000Z,mute enjoy life pakistan think issu headach rais voic watch video say next target,positive
susan muaddi darraj,2024-04-16T12:16:03.000Z,colleg histori professor told palestin invent ident realli jordanian thing palestin wish could send book 4th shelf,neutral
pti,2024-04-18T03:08:38.000Z,peopl kashmir palestin look us want see unifi respons us human right democrat right rais voic everi forum former prime minist pakistan imran khan,positive
kennyhex,2024-04-18T01:25:40.000Z,wander sylvia import messag,neutral
,2024-04-11T10:20:46.000Z,195 countri state leader support think,neutral
samin,2024-04-18T10:09:14.000Z,unicef execut director declar situat gaza strip shock 13000 palestinian children die result attack regim,neutral
faraz abid lakhani,2024-04-15T15:19:13.000Z,must watch video sign hour near,positive
chinki,2024-04-16T16:43:28.000Z,everi indian watch support israel,neutral
kuffiya,2024-04-17T18:28:02.000Z,support ralli centr berlin express solidar palestinian,neutral
nafise,2024-04-17T09:09:17.000Z,octob 7 never begin stori see isra treat palestinian women octob 7 invit femal fan freedom life world watch clip,neutral
imam reza shrine,2024-04-14T12:36:26.000Z,martyr soleimani breath new life resist front open new path imam khamenei,positive
abrar ahmad,2024-04-13T19:09:46.000Z,stand iran,neutral
mrgunsngear,2024-04-16T20:18:59.000Z,let us check road blocker whine whilst em remov hand contrapt will place unfortun look like handarm fine,positive
nicole,2024-04-13T14:42:49.000Z,kushner say american fund ethnic cleans build real estat american go bankrupt fund jewish supremaci white hous,positive
ahmadiyya moslims,2024-04-16T20:01:44.000Z,– holi quran let peopl enmiti incit act otherwis justic alway nearer righteous 59,neutral
dee │ free,2024-04-17T13:34:58.000Z,help sanaa sujood famili evacu palestin share donat gfm,neutral
palestine online,2024-04-17T18:47:03.000Z,pray stand palestin,neutral
zain malik,2024-04-18T07:07:26.000Z,everi decent human stand,positive
asif ali,2024-04-17T21:32:19.000Z,video show moment driver stuck bridg confront group propalestinian demonstr san francisco today organ say protest part a15 global econom blockad solidar,neutral
bruce snyder,2024-04-15T20:40:41.000Z,go hell child killer,neutral
هناء,2024-04-14T00:05:38.000Z,asylum migrat pact consolid encourag facilit wareh asylum seeker wareh peopl open air prison call decad wonder say share valu israel,neutral
mick wallace,2024-04-13T05:44:09.000Z,conflict explain key moment shape histori constant war,neutral
mr ap,2024-04-16T10:42:58.000Z,iran put arm forc full high alert time iran would respond direct stand iran stand,positive
syed mujtaba naقvi,2024-04-12T06:28:45.000Z,break news israel send jordanian rambo attack iran thing progress,neutral
malcolm x page,2024-04-13T22:30:32.000Z,artist art martyr tehranimoghaddam,neutral
brave,2024-04-13T23:45:09.000Z,big rain loud storm hit uae make flood car stuck road betray look like,positive
𝘿𝙐𝘾𝙆𝙔,2024-04-17T06:25:10.000Z,question support heart human butcher kid wrong genocid colonis ethnic cleans innoc peopl wrong steal land wrong ask question problem,negative
alpha100,2024-04-13T18:11:52.000Z,assalamu alaikum 𝐒𝐮𝐛𝐚𝐡 𝐚𝐥 𝐤𝐡𝐞𝐢𝐫 end choos one among option let us know comment 1 two state solut 2the entir land given 3end,neutral
aamira,2024-04-18T03:51:55.000Z,like mosquito zionist suck blood countri regrett muslim govern help zionist regim amid conflict,neutral
abraham,2024-04-13T16:55:49.000Z,london solidar judaism zionism diametr oppos,neutral
rania,2024-04-13T14:04:26.000Z,heartbroken palestin word express sorrow,neutral
silencedsirs,2024-04-16T09:02:18.000Z,know know remind,neutral
amera,2024-04-15T22:41:34.000Z,right iranian gather squar,positive
irna news agency,2024-04-13T22:03:58.000Z,palestin free karwa rahi thi paw paw ab 16 charg face kar rahi hu previous post fk modi facebook page end get fuke court,positive
aryan singh,2024-04-13T09:39:29.000Z,south africa spinner tabraiz shamsi announc support palestin massiv respect,neutral
farid khan,2024-04-13T21:43:24.000Z,alway,neutral
sandie smith,2024-04-14T08:18:34.000Z,urg western media outlet abandon frame activ shield israel respons crime peopl util frame recogn bind natur intern law concern western media…,neutral
lemkin institute genocide prevention,2024-04-16T01:56:44.000Z,hand guy ask whether muslim say muslim indian hindu palestinian person even forc eat cow beef watch video shubham describ incid,negative
pooja sangwan modi ka parivar,2024-04-16T15:21:37.000Z,despit kill destruct displac ethnic cleans racism occup return father grandfath home farm oliv tree land sign never forget never forgiv,neutral
م عبيدي الزهراني,2024-04-15T22:11:14.000Z,new york hillard newspap 100 year ago front page date 12111917 day occup headlin bold britain save 673 year muslim rule,positive
rana jazib,2024-04-12T23:46:39.000Z,ishowspe say “bye bye israel”,neutral
caryma sad lawyer political satirist,2024-04-16T09:03:41.000Z,– outrag parliament mani countri includ canada word continu spread innoc palestinian civilian shot kill wait humanitarian aid,neutral
khamenei media,2024-04-12T19:00:01.000Z,protest profanityladen chant middl finger act nonviol defianc polic apr 16 2024,neutral
amin jarrar,2024-04-17T15:32:39.000Z,like mosquito zionist suck blood countri,neutral
candice holmes,2024-04-12T17:42:12.000Z,alert east news gather attack town,neutral
v palestine,2024-04-13T12:54:12.000Z,easi fearmong bomb kid impun outrag 100k hurt illeg blockad though weapon rain west stay mute tax fund apartheid yet refuge flee “threats” hypocrit ignor israels…,neutral
derry ipsc,2024-04-15T07:11:03.000Z,river sea free,positive
taghrid almawed,2024-04-17T19:00:00.000Z,mother wit murder children agre,neutral
epci,2024-04-14T20:03:58.000Z,good news gotten basic everyth set chariti stream event inde happen june 10th june 17th make sure help,positive
somalia front news,2024-04-13T14:00:01.000Z,apost one protect zionist regim repres muslim inshaallah day come muslim fight overthrow murtaddeen,neutral
war analyst,2024-04-15T08:27:26.000Z,retali zionist attack iranian consul scene occupi,neutral
misanthrope mark,2024-04-14T16:38:36.000Z,attack extrem danger use idiot lefti muslim march celebr iran attack back mysoginist murder islam revolutionari regim ban protest,negative
john clarke,2024-04-14T00:12:34.000Z,power act solidar,neutral
محمود یحییٰ,2024-04-14T12:05:19.000Z,syria real test muslim,positive
uncover,2024-04-17T10:53:11.000Z,west bank attack arm isra settler burn entir palestinian villag ground,neutral
next level max,2024-04-15T10:41:48.000Z,austrian women take palestin support poster india,neutral
uci fjp,2024-04-13T17:28:28.000Z,univers california faculti justic open letter dean chemerinski full text avail,positive
iago,2024-04-17T21:41:49.000Z,dozen fanat isra settler attack palestinian resid almughay villag ramallah occupi west bank,neutral
sir chilliebean,2024-04-15T19:34:31.000Z,driver get upset protest block golden gate bridg polic respond noth stop crimin obstruct movement crime ca road,positive
dave suttons free gifs,2024-04-12T16:31:52.000Z,displac child gaza sing injur brother,neutral
drsabir abu maryam,2024-04-16T03:25:25.000Z,hear geezer anoth nicknam genocid joe pass opportun make anoth gif use standard compon show support palestinian gif download,neutral
nisar ahmed,2024-04-15T21:05:13.000Z,pakistani littl girl midhet zehra donat eid gift money children real,positive
stop war,2024-04-17T17:19:42.000Z,know king abdullah train help destitut,neutral
al mayadeen english,2024-04-13T19:11:39.000Z,saturday london march assembl 12 noon russel squar – march parliament squar support isra state never precari letup drive must keep push making…,neutral
abhilash ronur,2024-04-13T06:23:25.000Z,wednesday resist target newli establish headquart militari reconnaiss compani arab alaramsheh mark first kind term casualti northern occupi sinc begin israel war on…,positive
gems shaykh uthman,2024-04-14T08:51:23.000Z,book recommend read,neutral
mustafa al banna,2024-04-11T09:01:24.000Z,bigotri censorship appal countri pioneer free speech let univers silenc voic student sicken condemn cancel valedictorian speech,positive
dua zahra,2024-04-18T06:37:06.000Z,shout kashmiri brother sister oppress around globe,neutral
lok sabh election 2024,2024-04-13T05:00:00.000Z,friend due polici content account close campaign save famili withdrew fund set gofundm cover remain expens evacu famili pleas share donat,negative
tg wilson,2024-04-16T16:20:42.000Z,precious weapon contract friend israel cheer war crime go unpunish,positive
li zexin,2024-04-16T22:31:31.000Z,retweet support,neutral
momina,2024-04-14T18:25:56.000Z,protest use colour languag accus polic damag vehicl park outsid scrap yardbodi shop apr 16 2024,neutral
ataklti,2024-04-17T12:41:44.000Z,today latest news kuwait warn america use land iran pray palestin iran,positive
ciaran tierney,2024-04-14T16:33:18.000Z,rare footag palestinian address british govern 1936,positive
maimunka news,2024-04-17T15:22:18.000Z,wang yi china support becom full member state unit nation,positive
noah,2024-04-12T19:40:05.000Z,polic ask protest move back railway track shove match tri hold line,neutral
straighttalk,2024-04-13T09:11:56.000Z,russian presid putin say palestin histor belong palestinian,neutral
masonmason,2024-04-18T02:50:28.000Z,ask other continu voic peopl go genocid likepeopl,negative
joseph kishore,2024-04-16T23:40:45.000Z,unlik polit leader peopl speak atroc carri protest airport today civilian airport neutral countri abus militari two decad,neutral
workershammer spartacist league britain,2024-04-18T06:40:35.000Z,current visual isra shawi shomron town sebastia palestin,neutral
lyle,2024-04-18T11:53:17.000Z,us defens secretari austin said evid israel commit genocid gaza fact lie cannot cover truth israel commit genocid gaza,neutral
razia masood رضــــیہ,2024-04-14T13:37:14.000Z,western media use word dehuman palestinian,neutral
juliet,2024-04-12T21:16:34.000Z,protest yell polic offic switch bodi cam hit videograph record public,neutral
hena bushra,2024-04-12T01:37:49.000Z,bodi free children gaza free children innoc ceasefir save children side genocid,positive
